material_id,formula,elements,num_elements,energy_above_hull,crystal_system,spacegroup_number,spacegroup_symbol,band_gap,theoretical,is_metal,electronegativity_difference,atomic_concentrations
mp-1228906,AlCrFe2,"Al, Cr, Fe",3,0.02413916124999904,Tetragonal,123,P4/mmm,0.0,True,True,0.09908960591303209,Al: 0.2500; Cr: 0.2500; Fe: 0.5000
mp-1222110,MnGa2Ni9,"Ga, Mn, Ni",3,0.007107115833335342,Tetragonal,123,P4/mmm,0.0,True,True,0.10143416036468622,Mn: 0.0833; Ga: 0.1667; Ni: 0.7500
mp-1217098,Ti4CuAg,"Ag, Cu, Ti",3,0.0,Tetragonal,123,P4/mmm,0.0,True,True,0.1769887002042785,Ti: 0.6667; Cu: 0.1667; Ag: 0.1667
mp-1221572,MnInRh2,"In, Mn, Rh",3,0.02662982500000055,Tetragonal,123,P4/mmm,0.0,True,True,0.31807035385272847,Mn: 0.2500; In: 0.2500; Rh: 0.5000
mp-1228554,Al2Ni9Pd,"Al, Ni, Pd",3,0.05333080145833158,Tetragonal,123,P4/mmm,0.0,True,True,0.1460854962760582,Al: 0.1667; Ni: 0.7500; Pd: 0.0833
mp-1215228,ZrTi4Be5,"Be, Ti, Zr",3,0.021402921249999984,Tetragonal,123,P4/mmm,0.0,True,True,0.06945502141674134,Zr: 0.1000; Ti: 0.4000; Be: 0.5000
mp-1215336,ZrAl6Mo,"Al, Mo, Zr",3,0.02366922125000137,Tetragonal,123,P4/mmm,0.0,True,True,0.2155769874082111,Zr: 0.1250; Al: 0.7500; Mo: 0.1250
mp-1224791,GaNi2Pt,"Ga, Ni, Pt",3,0.0,Tetragonal,123,P4/mmm,0.0,True,True,0.17935648859185432,Ga: 0.2500; Ni: 0.5000; Pt: 0.2500
mp-644280,GaCuPt2,"Cu, Ga, Pt",3,0.0,Tetragonal,123,P4/mmm,0.0,False,True,0.21486914622625547,Ga: 0.2500; Cu: 0.2500; Pt: 0.5000
mp-1224944,GaCu4Ni15,"Cu, Ga, Ni",3,0.030587893000001642,Tetragonal,123,P4/mmm,0.0,True,True,0.02170253441421068,Ga: 0.0500; Cu: 0.2000; Ni: 0.7500
mp-1217070,Ti2RePt,"Pt, Re, Ti",3,0.0,Tetragonal,123,P4/mmm,0.0,True,True,0.3060637188560577,Ti: 0.5000; Re: 0.2500; Pt: 0.2500
mp-1221982,MgZn4Ag5,"Ag, Mg, Zn",3,0.01030432626922817,Tetragonal,123,P4/mmm,0.28140000000000054,True,False,0.19880643852752855,Mg: 0.1000; Zn: 0.4000; Ag: 0.5000
mp-1208973,Sc2Ga8Ni,"Ga, Ni, Sc",3,0.0026552854545451865,Tetragonal,123,P4/mmm,0.0,True,True,0.18010557051053588,Sc: 0.1818; Ga: 0.7273; Ni: 0.0909
mp-3702,FeCuPt2,"Cu, Fe, Pt",3,0.01835553999999817,Tetragonal,123,P4/mmm,0.0,False,True,0.20897069172494012,Fe: 0.2500; Cu: 0.2500; Pt: 0.5000
mp-1221702,MnAlRh2,"Al, Mn, Rh",3,0.030438072500000857,Tetragonal,123,P4/mmm,0.0,True,True,0.35064226784573466,Mn: 0.2500; Al: 0.2500; Rh: 0.5000
